From Sched Date: 06/26/23   To Sched Date: 06/27/23   From Truck:      To Truck: zzzzzzzz   Whs-Code: o   Sort By Load: no   SKU Group: Cabinets   Order Status: To Do Finish In Scan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sched Date,Attribute,Truck,Load,Cust#,Order,Line,Item,QT,DP,MR,DA,FI,FO,NH,RW,PL,XS,XR,LD,D2,WI,WO,SI,SO,AS,QI,QO,OrigOrd#,ProdLine,OrderCode,ShipDate,Deliv-Window,Species,Color,InvHold,ShipEntry,ProgressiveWO,FINLINE,PA FF Cart#,PA FF Slot#,KIT Cab,Job/Designer,MODS,,,,,,,,,,,,,,
6/27/2023,Wall,382208,30,3667,3136803,13,WST1848,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,D2,REG,6/30/2023,07/03/23-07/07/23,Mpl,WHITE ICING CLASSIC,no,?,,,,, ,BAKER3225/101340,D2,Mpl,t6,F,WIC,H3,L,CLSC,FIO,1DG1,PLYBOX,FFER,,,
6/27/2023,Wall,382208,30,3667,3136803,15,WST3348B,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,D2,REG,6/30/2023,07/03/23-07/07/23,Mpl,WHITE ICING CLASSIC,no,?,,,,, ,BAKER3225/101340,D2,Mpl,t6,F,WIC,H3,LR,CLSC,FIO,2DG1,ESR4.00,PLYBOX,FFEL,,
6/27/2023,Wall,382208,20,70488,3136975,7,W3015B/,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,YY,REG,6/30/2023,07/03/23-07/07/23,mdf,CHAILATTE CLASSIC,no,?,,,,, ,NTO_Americ/Charles Li,YY,mdf,3D,F,CHL,CLSC,,,,,,,,,
6/27/2023,Wall,382208,20,70488,3136975,8,PMW3033B/,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,YY,REG,6/30/2023,07/03/23-07/07/23,mdf,CHAILATTE CLASSIC,no,?,,,,, ,NTO_Americ/Charles Li,YY,mdf,3D,F,CHL,CLSC,WEL,,,,,,,,
6/27/2023,Wall,382208,20,70488,3136975,9,W3630B/,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,YY,REG,6/30/2023,07/03/23-07/07/23,mdf,CHAILATTE CLASSIC,no,?,,,,, ,NTO_Americ/Charles Li,YY,mdf,3D,F,CHL,CLSC,,,,,,,,,
6/27/2023,Wall,382208,10,4672,3148161,37,W2742B,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,D2,REG,6/30/2023,07/03/23-07/07/23,MDF,WHITE ICING CLASSIC,no,?,,,,, ,MCCHESNEY/BRENT H,D2,MDF,PK,F,H3,WIC,CLSC,FFD,,,,,,,
6/27/2023,Wall,382208,10,4672,3148161,38,W1542,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,D2,REG,6/30/2023,07/03/23-07/07/23,MDF,WHITE ICING CLASSIC,no,?,,,,, ,MCCHESNEY/BRENT H,D2,MDF,PK,F,H3,WIC,CLSC,R,FFD,,,,,,
6/27/2023,Wall,382208,10,4672,3148161,39,24W3924,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,D2,REG,6/30/2023,07/03/23-07/07/23,MDF,WHITE ICING CLASSIC,no,?,,,,, ,MCCHESNEY/BRENT H,D2,MDF,PK,F,H3,WIC,CLSC,FFD,,,,,,,
6/27/2023,Tall,382208,10,4672,3148161,40,24UCS3696B,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,D2,REG,6/30/2023,07/03/23-07/07/23,MDF,WHITE ICING CLASSIC,no,?,,,,, ,MCCHESNEY/BRENT H,D2,MDF,PK,F,H3,WIC,CLSC,FFD,,,,,,,
6/27/2023,Base,382208,10,4672,3148161,42,SB33B,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,D2,REG,6/30/2023,07/03/23-07/07/23,MDF,WHITE ICING CLASSIC,no,?,,,,, ,MCCHESNEY/BRENT H,D2,MDF,PK,F,H3,WIC,CLSC,FFD,,,,,,,
